file_location,doi,title,authors,year,journal
https___openalex_org_W4226030113.txt,10.7441/joc.2022.01.08,Sustainable Competitiveness: How Does Global Competitiveness Index Relate to Economic Performance Accompanied by the Sustainable Development?,"[""Rastislav Rajnoha"", ""Petra Lesníková""]",2022,Journal of Competitiveness
https___openalex_org_W4313826532.txt,10.3390/su15021194,Sustainable Cultural Innovation Practice: Heritage Education in Universities and Creative Inheritance of Intangible Cultural Heritage Craft,"[""Wenjie Yan"", ""Kerun Li""]",2023,Sustainability
https___openalex_org_W4283265881.txt,10.1002/fes3.405,The future of sustainable food consumption in China,"[""May Chu"", ""Sven Anders"", ""Qing Deng"", ""Carolina A. Contador"", ""Francisco Cisternas"", ""Catherine Ann Caine"", ""Zhu Ying"", ""Shuyuan Yang"", ""Bo Hu"", ""Zhiguang Liu"", ""Lap Ah Tse"", ""Hon‐Ming Lam""]",2022,Food and Energy Security
https___openalex_org_W4362734033.txt,10.12912/27197050/162708,Environmental Technological Innovations and the Sustainability of their Development,"[""Jana Chovancová"", ""Milan Majerník"", ""Peter Drábik"", ""Zuzana Štofková""]",2023,Ecological Engineering & Environmental Technology
https___openalex_org_W4328124541.txt,10.1002/sd.2551,The sustainable development goals: How does their implementation affect the financial sustainability of the largest Spanish municipalities,"[""Bernardino Benito"", ""María‐Dolores Guillamón"", ""Ana María Ríos""]",2023,Sustainable Development
https___openalex_org_W4390232133.txt,10.1108/ejmbe-07-2022-0241,Institutional pressures for sustainability: a triple bottom line approach,"[""Susana Pasamar"", ""Mar Bornay‐Barrachina"", ""Rafael Morales‐Sánchez""]",2023,European Journal of Management and Business Economics
https___openalex_org_W4229016764.txt,10.1177/00049441221086654,‘I cannot sustain the workload and the emotional toll’: Reasons behind Australian teachers’ intentions to leave the profession,"[""Amanda Heffernan"", ""David Bright"", ""Misol Kim"", ""Fiona Longmuir"", ""Bertalan Magyar""]",2022,Australian Journal of Education
pmc_PMC3162552.txt,10.1371/journal.pone.0023431,HIV Incidence among Men Who Have Sex with Men in China: A Meta-Analysis of Published Studies,"[""Hong-Min Li"", ""Rui-Rui Peng"", ""Jing Li"", ""Yue-Ping Yin"", ""Baoxi Wang"", ""Myron S. Cohen"", ""Xiang-Sheng Chen""]",2011,PLoS ONE
https___openalex_org_W4396238468.txt,10.1002/anie.202404454,Type I Photoinitiator Based on Sustainable Carbon Dots,"[""Ruiping Li"", ""Hongda Guo"", ""Xiongfei Luo"", ""Qunying Wang"", ""Yulian Pang"", ""Shujun Li"", ""Shouxin Liu"", ""Jian Li"", ""Bernd Strehmel"", ""Zhijun Chen""]",2024,Angewandte Chemie International Edition
https___openalex_org_W4318049555.txt,10.3390/su15032254,Sustainable EFL Blended Education in Indonesia: Practical Recommendations,"[""Putri Gayatri"", ""Helena Hing Wa Sit"", ""Shen Chen"", ""Hui Li""]",2023,Sustainability
